track_name,track_id,artist(s)_name,artist_count,released_year,released_month,released_day,popularity,acousticness_%,danceability_%,duration_ms,energy_%,instrumentalness_%,key,liveness_%,loudness,mode,speechiness_%,tempo(bpm),time_signature,valence_%
Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,Jimin,1,2023,3,24,94,0.25,62.9,212241,73.3,0.0,7,35.7,-5.445,1,4.19,120.001,4,0.362
Y LLORO,6RcAHyC5sAUIbPTkhOQwd8,Junior H,1,2023,10,5,91,42.4,72.8,179013,58.9,0.000778,7,16.6,-7.115,1,3.76,77.475,4,0.767
Daylight,1odExI7RdWc4BT515LTAwj,David Kushner,1,2023,4,14,94,83.0,50.8,212954,43.0,0.0441,2,9.3,-9.475,0,3.35,130.09,4,0.324
500lbs,1xWkeSPhf3bZqHY7Ncz8vp,Lil Tecca,1,2023,7,21,85,13.4,73.1,144390,66.7,0.0,7,11.4,-7.928,0,8.15,123.042,4,0.485
MELTDOWN (feat. Drake),67nepsnrcZkowTxMWigSbb,Travis Scott & Drake,2,2023,7,28,88,1.2,55.7,246134,77.4,0.0,7,39.6,-5.275,0,35.099999999999994,111.975,4,0.397
Que Onda,6uIIdjYTxxpWOyWuVXrKQO,Calle 24 & Chino Pacas & Fuerza Regida,3,2023,8,30,95,18.3,80.80000000000001,191467,94.4,0.000111,10,13.8,-4.863,0,4.08,124.934,3,0.937
You Proof,5W4kiM2cUYBJXKRudNyxjW,Morgan Wallen,1,2023,3,3,84,26.5,73.2,157478,83.89999999999999,0.0,9,60.2,-5.007,1,3.45,119.724,4,0.629
Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,1,2023,5,25,93,2.07,67.10000000000001,176579,84.5,0.0,11,32.9,-4.93,0,4.8,110.056,4,0.775
FE!N (feat. Playboi Carti),42VsgItocQwOQC3XWZ8JNA,Travis Scott & Playboi Carti,2,2023,7,28,89,3.16,56.89999999999999,191701,88.2,0.0,3,14.2,-2.777,0,6.0,148.038,4,0.201
Religiously,0bILU0UiNDmA5Ff6whhb2R,Bailey Zimmerman,1,2023,5,12,84,42.6,56.99999999999999,178723,67.0,0.0,1,10.8,-6.519,1,2.74,140.924,4,0.593
